word,is_positive
這部電影的劇情峰迴路轉，每個轉折都讓人驚喜,True
特效令人失望，感覺像是十年前的技術水平,False
演員們的演技精湛，將角色的情感詮釋得淋漓盡致,True
整體節奏拖沓，看到一半就想離場,False
電影配樂非常出色，完美襯托了故事氛圍,True
對話設計生硬且不自然，讓人難以入戲,False
攝影美學極佳，每一幀畫面都像藝術品,True
角色塑造過於扁平，缺乏深度和層次,False
結局雖然出乎意料，但邏輯上難以自圓其說,False
這是一部值得二刷的佳作，細節處處充滿巧思,True
導演的敘事手法獨特，展現了強烈的個人風格,True
劇情老套，沒有任何新意，看了開頭就知道結局,False
電影傳達的訊息深刻且引人深思,True
剪輯混亂，許多場景的切換都顯得突兀,False
這部片子毫無亮點，浪費了我的時間,False
感人的情節讓我熱淚盈眶，是近年來最好的愛情片,True
動作場面設計得熱血沸騰，非常過癮,True
服裝和道具都非常粗糙，完全不符合時代背景,False
前半段鋪陳太長，讓人昏昏欲睡,False
劇本充滿巧思，每一個細節都值得推敲,True
這部電影簡直是場視覺饗宴，令人嘆為觀止,True
表演浮誇，讓人覺得很尷尬,False
故事情節俗套，毫無新意,False
這部電影的喜劇效果出乎意料的好，從頭笑到尾,True
節奏掌握得宜，毫無冷場，讓人全神貫注,True
看完之後感到空虛，缺乏情感共鳴,False
電影的轉折點設計得非常巧妙，完全猜不到,True
這部電影的台詞充滿智慧與幽默，值得細細品味,True
角色的動機不清晰，讓人無法理解他們的行為,False
攝影技術平庸，無法展現出電影的美感,False
電影傳達的價值觀非常正向，給人啟發,True
故事情節斷裂，難以理解,False
電影的配音與口型對不上，讓人出戲,False
這部電影的敘事手法獨特，令人耳目一新,True
劇情引人入勝，讓我完全沉浸其中,True
特效過於廉價，讓人看了很出戲,False
演員之間的化學反應十足，讓人信服他們的關係,True
電影的訊息混亂，讓人摸不著頭緒,False
這部電影的結局令人意猶未盡,True
劇情進展得太慢，讓人感到不耐煩,False
這是一部充滿驚喜的電影，每一個環節都出乎意料,True
音效設計平淡，無法營造出緊張氣氛,False
電影的視覺效果太過花俏，讓人分心,False
故事情節非常流暢，沒有多餘的片段,True
這部電影的劇本寫得很紮實，每一個角色都有自己的故事,True
角色對話缺乏深度，顯得非常膚淺,False
電影的色調運用得非常出色，營造出獨特氛圍,True
情節過於誇張，不符合現實邏輯,False
這部電影的情感表達非常細膩，讓人動容,True
看完電影後感到失望，與預期落差太大,False
這部電影的劇情峰迴路轉，每個轉折都讓人驚喜,True
特效令人失望，感覺像是十年前的技術水平,False
