word,is_positive
進取,True
堅韌,True
豐富,True
良機,True
迷人,True
夢幻,True
熱切,True
色彩繽紛,True
柔情,True
博大,True
柔和,True
充滿,True
誠懇,True
燦爛,True
持久,True
期待,True
挺拔,True
完美,True
自在,True
和樂,True
良策,True
高度,True
乾淨,True
優秀,True
出眾,True
寬厚,True
細緻,True
豔麗,True
靈活,True
信心,True
豪爽,True
活力,True
清秀,True
精彩,True
朝氣,True
正能量,True
出彩,True
瑰麗,True
新穎,True
出色,True
亮麗,True
活潑,True
風雅,True
良緣,True
感恩,True
寬敞,True
耐心,True
俊俏,True
別致,True
溫暖,True
親密,True
從容,True
慷慨,True
盡心,True
生機,True
開朗,True
溫厚,True
友情,True
堅定,True
包容,True
幽雅,True
雅緻,True
敏捷,True
寬廣,True
熱愛,True
可愛,True
浩瀚,True
穩重,True
果斷,True
堅強,True
漂亮,True
值得,True
忠心,True
純淨,True
友愛,True
優美,True
神采,True
欣喜,True
竭心,True
機智,True
貼心,True
謙和,True
陽光,True
歡欣,True
耐久,True
縹緲,True
情誼,True
廣闊,True
高尚,True
豁達,True
善解人意,True
濃郁,True
珍貴,True
輕快,True
熱心,True
開放,True
真摯,True
喜愛,True
創意,True
明快,True
敬愛,True
健美,True
進步,True
喜慶,True
慈悲,True
清潔,True
靈敏,True
喜悅,True
珍愛,True
心靈深處,True
慈祥,True
細膩,True
忠誠,True
慈心,True
真誠,True
認真,True
愉快,True
迷戀,True
幸福,True
謹慎,True
親切,True
熱情,True
善良,True
善心,True
輕盈,True
驚奇,True
忠實,True
溫心,True
協作,True
明凈,True
成熟,True
強壯,True
濃烈,True
精確,True
和平,True
安逸,True
純潔,True
和藹,True
無限,True
閃爍,True
善念,True
清新,True
體貼,True
團結,True
洒脫,True
動聽,True
難忘,True
撼動,True
舒適,True
傑出,True
尊重,True
熱忱,True
安慰,True
體恤,True
共鳴,True
優雅,True
勤奮,True
恬淡,True
謙虛,True
輝煌,True
優越,True
風趣,True
快慰,True
大氣,True
充實,True
和諧,True
信任,True
神秘,True
自然,True
典雅,True
鼓舞,True
全心,True
悅耳,True
好意,True
細心,True
尊敬,True
精美,True
穩定,True
特別,True
仁慈,True
精心,True
向上,True
純真,True
清澈,True
愛心,True
豐盈,True
愜意,True
飄逸,True
絕倫,True
獨特,True
活躍,True
光明,True
寬容,True
深情,True
極致,True
耀眼,True
生氣,True
絢麗,True
怡然,True
自信,True
斑斕,True
澄澈,True
飽滿,True
榮耀,True
精緻,True
無雙,True
卓著,True
幽默,True
前進,True
專心,True
和善,True
雋永,True
晶瑩,True
快樂,True
光彩,True
奮進,True
美好,True
關愛,True
輕鬆,True
關心,True
勇氣,True
竭力,True
明亮,True
清晰,True
智慧,True
卓越,True
無私,True
美麗,True
璀璨,True
感人,True
振奮,True
嶄新,True
努力,True
專注,True
熱烈,True
感性,True
溫馨,True
奇妙,True
透明,True
溫柔,True
不凡,True
誠摯,True
奇特,True
友善,True
深遠,True
和煦,True
真心,True
愉悅,True
親和,True
誠心,True
平靜,True
善行,True
可信,True
驚艷,True
感激,True
慰籍,True
遼闊,True
率真,True
沉著,True
歡樂,True
博愛,True
卓效,True
非凡,True
希望,True
豐潤,True
樂觀,True
巧妙,True
敘事流暢,True
技巧高超,True
發人深省,True
角色鮮明,True
表演出色,True
真摯情感,True
情感動人,True
動作流暢,True
畫面唯美,True
情節跌宕,True
充滿驚喜,True
精彩絕倫,True
入木三分,True
內涵深刻,True
故事完整,True
絕妙,True
突破性,True
語言生動,True
畫面精彩,True
獨特視角,True
無懈可擊,True
史詩級,True
熱血沸騰,True
情節緊湊,True
編劇出色,True
全情投入,True
感人肺腑,True
演技精湛,True
劇情扣人,True
場景豐富,True
音樂悅耳,True
精彩表現,True
鏗鏘有力,True
極具張力,True
完美無瑕,True
畫面震撼,True
深刻,True
天衣無縫,True
視覺盛宴,True
情感共鳴,True
情節動人,True
節奏緊湊,True
流暢自如,True
藝術美感,True
節奏感強,True
難以忘懷,True
耐人尋味,True
精雕細琢,True
震撼人心,True
華麗,True
極富想像力,True
流光溢彩,True
畫面細膩,True
極具深度,True
富有創意,True
扣人心弦,True
主題鮮明,True
情感真摯,True
笑中帶淚,True
音效震撼,True
戲劇性強,True
無與倫比,True
藝術魅力,True
動人心魄,True
攝影精美,True
引人共鳴,True
引人入勝,True
美輪美奐,True
角色飽滿,True
精湛,True
極具感染力,True
風格獨到,True
戲劇張力,True
思想深度,True
對白精彩,True
導演功力,True
藝術層次,True
Positive Words,True
優質體驗,True
璀璨奪目,True
充滿感恩,True
令人振奮,True
英俊瀟灑,True
一心一意,True
一鳴驚人,True
璀璨星空,True
圓融無礙,True
胸懷大志,True
勇敢自信,True
努力向前,True
成竹在胸,True
勇於嘗試,True
誠信為本,True
才華橫溢,True
潤物無聲,True
溫文儒雅,True
胸懷坦蕩,True
獨一無二,True
情感豐富,True
真摯深情,True
意氣風發,True
開拓創新,True
清新淡雅,True
步步高升,True
親和可親,True
情投意合,True
質樸無華,True
無私奉獻,True
精益求精,True
自強不息,True
情深意切,True
實至名歸,True
超凡卓越,True
如詩如畫,True
心無旁騖,True
令人神往,True
勇於挑戰,True
細致入微,True
和諧相處,True
極富感染力,True
風度翩翩,True
高屋建瓴,True
熱烈歡迎,True
豐衣足食,True
堅貞不渝,True
